name,time_window,time_ms,top1,top5,mean_rank,median_rank,top1_drop,top5_drop
baseline,,—,0.6899999976158142,0.9449999928474426,2.055000066757202,1.0,,
full_freq_T0,T0_0-50ms,0-52ms,0.699999988079071,0.949999988079071,2.0799999237060547,1.0,-0.01,-0.005
full_freq_T1,T1_50-150ms,52-152ms,0.42500001192092896,0.7350000143051147,6.835000038146973,2.0,0.265,0.21
full_freq_T2,T2_150-300ms,152-300ms,0.23499999940395355,0.4699999988079071,22.139999389648438,7.0,0.455,0.475
full_freq_T3,T3_300-500ms,300-500ms,0.574999988079071,0.8399999737739563,3.8350000381469727,1.0,0.115,0.105
full_freq_T4,T4_500-800ms,500-800ms,0.6100000143051147,0.8899999856948853,3.015000104904175,1.0,0.08,0.055
