sub,top1 acc,top5 acc,best top1 acc,best top5 acc,best test loss,best epoch
sub-01,56.5,80.0,59.5,84.5,1.4,17.0
sub-02,64.0,89.5,65.0,92.0,1.1,30.0
sub-03,60.5,90.0,62.0,93.0,1.1,23.0
sub-04,59.5,88.0,62.5,88.0,1.2,21.0
sub-05,52.0,85.0,56.5,87.5,1.6,25.0
sub-06,69.0,94.5,70.0,95.0,0.9,49.0
sub-07,62.0,89.5,62.0,90.5,1.4,39.0
sub-08,67.0,95.5,72.5,95.0,0.9,17.0
sub-09,65.0,90.5,62.5,93.0,1.3,24.0
sub-10,73.5,96.5,73.5,97.0,0.8,46.0
Average,62.9,89.9,64.6,91.5,1.2,
