subject,top1 acc,top5 acc,best top1 acc,best top5 acc,best test loss,best epoch,seed
sub-01,54.5,85.5,50.0,84.5,1.5085,18,42
sub-02,63.5,93.0,68.0,94.5,1.0742,42,42
sub-03,59.5,91.0,59.0,90.5,1.2089,19,42
sub-04,58.0,91.0,58.5,90.0,1.1766,23,42
sub-05,58.5,83.5,55.5,83.5,1.6253,20,42
sub-06,69.0,91.5,70.0,91.5,0.9733,32,42
sub-07,61.0,89.5,65.0,88.5,1.3019,31,42
sub-08,68.5,93.5,68.0,94.0,0.9721,33,42
sub-09,60.0,90.0,60.5,93.0,1.314,19,42
sub-10,73.0,97.0,71.0,97.0,0.8322,34,42
