sub,top1 acc,top5 acc,best top1 acc,best top5 acc,best test loss,best epoch
sub-01,47.0,78.5,50.0,80.5,1.5,16.0
sub-02,65.5,93.0,64.5,92.5,1.1,34.0
sub-03,57.0,92.0,60.5,88.5,1.2,32.0
sub-04,59.5,88.5,64.0,88.0,1.2,24.0
sub-05,55.0,84.5,55.0,84.5,1.6,29.0
sub-06,70.0,92.5,71.0,94.5,0.9,33.0
sub-07,63.5,92.0,64.0,89.5,1.3,44.0
sub-08,70.0,94.5,71.0,94.0,0.9,27.0
sub-09,63.0,92.0,60.0,92.5,1.3,18.0
sub-10,74.5,96.5,73.0,98.0,0.8,36.0
Average,62.5,90.4,63.3,90.2,1.2,
