sub,top1 acc,top5 acc,best top1 acc,best top5 acc,best test loss,best epoch
sub-01,21.0,52.0,22.5,55.5,3.0,37.0
sub-02,19.5,50.0,26.5,51.5,3.0,21.0
sub-03,16.5,47.0,18.0,42.5,3.4,35.0
sub-04,18.0,49.5,19.5,50.5,3.2,19.0
sub-05,13.0,38.5,15.0,47.0,3.3,16.0
sub-06,28.0,56.0,30.0,58.5,2.9,37.0
sub-07,15.5,44.0,16.5,48.5,3.3,26.0
sub-08,23.5,46.5,19.5,49.0,3.2,20.0
sub-09,15.5,40.5,20.0,50.5,3.1,17.0
sub-10,28.0,56.0,34.5,62.0,2.5,26.0
Average,19.9,48.0,22.2,51.5,3.1,
